Molecule_ID,SMILES,Best_Formulation
MOL001,CC(=O)OC1=CC=CC=C1C(=O)O,IR_tablet
MOL002,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,ASD
MOL003,CC1=CC(=O)NC(=O)N1,IR_tablet
MOL004,CC(=O)NC1=CC=C(O)C=C1,IR_tablet
MOL005,CN1C(=O)N(C)c2ncn(C)c2C1=O,IR_tablet
MOL006,CCOC(=O)C1=CC=CC=C1Cl,ASD
MOL007,COC1=CC=CC=C1OC,ASD
MOL008,CCOC(=O)N1CCCC1C(=O)O,IR_tablet
MOL009,CCN(CC)CCOC(=O)C1=CC=CC=C1,ASD
MOL010,CC(C)NCC(O)COC1=CC=CC=C1,IR_tablet
MOL011,CC1=CC(=O)NC(=O)N1,IR_tablet
MOL012,OC1=CC=CC=C1,ASD
MOL013,NC1=CC=CC=C1,ASD
MOL014,O=C(O)C1=CC=CC=C1,ASD
MOL015,COC1=CC=C(C=C1)C(=O)O,IR_tablet
MOL016,CCOC(=O)C1=CC=C(O)C=C1,IR_tablet
MOL017,CCOC(=O)C1=CC=C(Cl)C=C1,ASD
MOL018,CCOC(=O)C1=CC=C(OC)C=C1,ASD
MOL019,CCN(CC)C1=CC=CC=C1,ASD
MOL020,CCOC1=CC=CC=C1,ASD
MOL021,CC1=CC=CC=C1,ASD
MOL022,CCCCCCCC,ASD
MOL023,CCCCCCCCCC,Lipid_system
MOL024,CCCCCCCCCCCC,Lipid_system
MOL025,CCCCCCOC(=O)C1=CC=CC=C1,ASD
MOL026,CCCCCCCCOC(=O)C1=CC=CC=C1,Lipid_system
MOL027,CC(C)CCOC(=O)C1=CC=CC=C1,ASD
MOL028,CCCCCCCCCCCCOC(=O)C1=CC=CC=C1,Lipid_system
MOL029,CCOC(=O)N1CCN(CC1)C,ASD
MOL030,CN(C)CCOC1=CC=CC=C1,ASD
MOL031,CCOC(=O)C1=CC=NC=C1,ASD
MOL032,OC1=NC=CC=C1,ASD
MOL033,NC1=NC=CC=C1,ASD
MOL034,CC1=NC=CC=C1,ASD
MOL035,O=C(O)C1=CC=NC=C1,IR_tablet
MOL036,COC1=CC=NC=C1,ASD
MOL037,CCOC(=O)NCC1=CC=CC=C1,ASD
MOL038,CCN(CC)CCNC(=O)C1=CC=CC=C1,ASD
MOL039,CCOC(=O)NC1=CC=CC=C1,ASD
MOL040,CC(C)OC(=O)C1=CC=CC=C1,ASD
MOL041,CCCCOC(=O)C1=CC=CC=C1,ASD
MOL042,CCOC(=O)C1=CC=CC=C1,ASD
MOL043,COC(=O)C1=CC=CC=C1,ASD
MOL044,CC(C)C1=CC=C(C=C1)O,ASD
MOL045,CC1=C(C(=O)NC(=O)N1)N,IR_tablet
MOL046,OCCN(CCO)CCO,IR_tablet
MOL047,NCC(O)CO,IR_tablet
MOL048,CC(C)(O)CO,IR_tablet
MOL049,CC(C)NCC(O)CO,IR_tablet
MOL050,NC(=O)N1CCNCC1,IR_tablet
MOL051,CCOC(=O)N(CC)CC,ASD
MOL052,CCN(CC)C(=O)C1=CC=CC=C1,ASD
MOL053,CCOC(=O)C1=CC=C(C=C1)N,IR_tablet
MOL054,NC1=CC=C(C=C1)C(=O)O,IR_tablet
MOL055,COC1=CC=C(C=C1)N,ASD
MOL056,CCOC(=O)C1=CC=C(C=C1)O,IR_tablet
MOL057,CCOC(=O)C1=CC=C(C=C1)Cl,ASD
MOL058,CCOC(=O)C1=CC=C(C=C1)Br,ASD
MOL059,CCCCCCCCCCOC(=O)N1CCCC1,Lipid_system
MOL060,CCCCCCCCCCOC(=O)NC1=CC=CC=C1,Lipid_system
MOL061,CCOC(=O)C1=CC=CC=C1,ASD
MOL062,C1CC(,ASD
MOL063,,IR_tablet
MOL064,CCOC(=O)C1=CC=CC=C1,ASD
